regionName,sector,year,co2_int,ccost_int
Belgium,Rep and instal of machinery,2021.0,1.1991040906645201e-08,0.0
Belgium,Road transport,2021.0,2.553644303971102e-07,0.0
Belgium,Rubber & plastic,2021.0,4.6764786721783835e-09,2.7182016830874905e-07
Belgium,Sawmill pulp paper,2021.0,4.3343085283087e-08,2.593216382441024e-06
Belgium,Services to transport,2021.0,7.695972656850072e-10,0.0
Belgium,Telecomm,2021.0,7.833860835565895e-11,0.0
Belgium,Textiles & leather,2021.0,2.041749327171028e-08,1.227633987148008e-06
Belgium,Tobacco,2021.0,6.12241407769491e-08,3.599586233228566e-06
Belgium,Veg,2021.0,6.402708101664961e-08,3.8122207743987347e-06
Belgium,Waste & recycling,2021.0,5.349432427109466e-08,2.5074565306284283e-06
Belgium,Water & sewage,2021.0,1.232842673967069e-07,7.39605027077196e-06
Belgium,Water transport,2021.0,1.8087120903717352e-08,0.0
Belgium,Ws retail repair m vehicles,2021.0,3.523142520195565e-10,0.0
Brazil,Agriculture,2021.0,1.0095563207121233e-07,0.0
Brazil,Air transport,2021.0,6.093017506355223e-07,0.0
Brazil,Arts and recreation,2021.0,6.814771344247151e-11,0.0
Brazil,Basic metals,2021.0,4.868594897220601e-07,0.0
Brazil,Beverage,2021.0,3.700452397545558e-08,0.0
Brazil,Cement lime plaster prod,2021.0,5.455354714048625e-06,0.0
Brazil,Cereals,2021.0,4.132970234116193e-08,0.0
Brazil,Coke oven products,2021.0,1.7440764566561485e-06,0.0
Brazil,Comp electronics & optical,2021.0,8.842034307321908e-09,0.0
Brazil,Construction,2021.0,5.18437839260058e-08,0.0
Brazil,Dairy,2021.0,3.760826876073162e-08,0.0
Brazil,Education,2021.0,7.728301922824235e-11,0.0
Brazil,Electric power & gas,2021.0,1.0002824865957945e-06,0.0
Brazil,Electrical equipment,2021.0,2.2880218371405545e-08,0.0
Brazil,Fabricated metal products,2021.0,2.1281312480848748e-07,0.0
Brazil,Fertilizers,2021.0,3.5770137110103605e-08,0.0
Brazil,Finance & Insurance,2021.0,2.4756101950769195e-11,0.0
Brazil,Fish,2021.0,1.1737324876221517e-06,0.0
Brazil,Fishing,2021.0,1.1929312485843825e-10,0.0
Brazil,Forestry,2021.0,1.9931536685012548e-07,0.0
Brazil,Fruit,2021.0,1.5701158874502524e-07,0.0
Brazil,Furniture & other manuf,2021.0,2.588462627822428e-08,0.0
Brazil,Gas extraction,2021.0,1.249288701883467e-07,0.0
Brazil,Gov security order,2021.0,4.6506755675784405e-11,0.0
Brazil,Hard coal,2021.0,7.41704597669882e-07,0.0
Brazil,Health and social work,2021.0,1.7526792085106938e-10,0.0
Brazil,Hospitality,2021.0,1.0688349584868867e-10,0.0
Brazil,IT,2021.0,1.0679744135484345e-10,0.0
