Jurisdiction,Year,IPCC_cat_code,iea_code,Product,tax_rate_incl_ex_clcu,ets_price,tax_curr_code,ets_curr_code,tax_rate_incl_ex_clcu_USD,ets_price_USD,tax_rate_incl_ex_clcu_2019USD,ets_price_2019USD,tax_curr_x_rate,ets_curr_x_rate
Denmark,1989,2F2,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,2F3,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,2F4,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,2F5,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,2F6,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,2G,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,2G1,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,2G2,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,2G3,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,2G4,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,2H,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,2H1,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,2H2,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,2H3,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,3,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,3A,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,3A1,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,3A2,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,3B,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,3B1,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,3B1A,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,3B1B,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,3B2,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,3B2A,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,3B2B,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,3B3,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,3B3A,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,3B3B,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,3B4,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,3B4A,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,3B4B,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,3B5,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,3B5A,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,3B5B,,,,,,,,,,,0.8333299999999999,0.8333299999999999
