jurisdiction,year,ipcc_code,iea_code,Product,tax_rate_incl_ex_clcu,ets_price_clcu,ets_2_price_clcu,tax_curr_code,ets_curr_code,ets_2_curr_code,tax_rate_incl_ex_usd_k,ets_price_usd_k,ets_2_price_usd_k,tax_curr_x_rate,ets_curr_x_rate,ets_2_curr_x_rate
Finland,1990,1A3A1,ABFLOW040,Natural gas,,,,,,,,,,,,
Finland,1990,1A3A1,ABFLOW040,Oil,,,,,,,,,,,,
Finland,1990,1A3A2,ABFLOW029,Coal,1.2,,,EUR,,,2.2621441418490487,,,0.893409,,
Finland,1990,1A3A2,ABFLOW029,Natural gas,1.2,,,EUR,,,2.2621441418490487,,,0.893409,,
Finland,1990,1A3A2,ABFLOW029,Oil,1.2,,,EUR,,,2.2621441418490487,,,0.893409,,
Finland,1990,1A3B,ABFLOW028,Coal,1.2,,,EUR,,,2.2621441418490487,,,0.893409,,
Finland,1990,1A3B,ABFLOW028,Natural gas,1.2,,,EUR,,,2.2621441418490487,,,0.893409,,
Finland,1990,1A3B,ABFLOW028,Oil,1.2,,,EUR,,,2.2621441418490487,,,0.893409,,
Finland,1990,1A3C,ABFLOW030,Coal,,,,,,,,,,,,
Finland,1990,1A3C,ABFLOW030,Natural gas,,,,,,,,,,,,
Finland,1990,1A3C,ABFLOW030,Oil,,,,,,,,,,,,
Finland,1990,1A3D,,Coal,,,,,,,,,,,,
Finland,1990,1A3D,,Natural gas,,,,,,,,,,,,
Finland,1990,1A3D,,Oil,,,,,,,,,,,,
Finland,1990,1A3D1,ABFLOW039,Coal,,,,,,,,,,,,
Finland,1990,1A3D1,ABFLOW039,Natural gas,,,,,,,,,,,,
